"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1990;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1991;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1992;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1993;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1994;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1995;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1996;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1997;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1998;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";1999;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2000;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2001;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2002;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2003;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2004;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2005;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2006;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2007;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2008;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2009;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2010;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2011;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2012;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2013;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2014;;
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2015;1114;1114
"Non-institutional services in child welfare, total operating expenditure, 1000 euro";"4684";"Akaa";"020";"combined";2016;1240;1240
